Date,IIP,Time
01-01-2006,89,1
02-01-2006,91,2
03-01-2006,95,3
04-01-2006,89,4
05-01-2006,91,5
06-01-2006,92,6
07-01-2006,93,7
08-01-2006,91,8
09-01-2006,107,9
10-01-2006,110,10
11-01-2006,104,11
12-01-2006,112,12
01-01-2007,95,13
02-01-2007,101,14
03-01-2007,101,15
04-01-2007,107,16
05-01-2007,102,17
06-01-2007,106,18
07-01-2007,102,19
08-01-2007,118,20
09-01-2007,124,21
10-01-2007,130,22
11-01-2007,126,23
12-01-2007,137,24
01-01-2008,124,25
02-01-2008,126,26
03-01-2008,126,27
04-01-2008,127,28
05-01-2008,120,29
06-01-2008,119,30
07-01-2008,127,31
08-01-2008,125,32
09-01-2008,145,33
10-01-2008,149,34
11-01-2008,147,35
12-01-2008,152,36
01-01-2009,136,37
02-01-2009,140,38
03-01-2009,136,39
04-01-2009,131,40
05-01-2009,126,41
06-01-2009,132,42
07-01-2009,130,43
08-01-2009,126,44
09-01-2009,139,45
10-01-2009,134,46
11-01-2009,132,47
12-01-2009,139,48
01-01-2010,135,49
02-01-2010,136,50
03-01-2010,134,51
04-01-2010,142,52
05-01-2010,137,53
06-01-2010,134,54
07-01-2010,135,55
08-01-2010,142,56
09-01-2010,160,57
10-01-2010,159,58
11-01-2010,154,59
12-01-2010,156,60
01-01-2011,153,61
02-01-2011,146,62
03-01-2011,152,63
04-01-2011,150,64
05-01-2011,143,65
06-01-2011,147,66
07-01-2011,147,67
08-01-2011,143,68
09-01-2011,165,69
10-01-2011,173,70
11-01-2011,175,71
12-01-2011,177,72
01-01-2012,158,73
02-01-2012,157,74
03-01-2012,157,75
04-01-2012,159,76
05-01-2012,146,77
06-01-2012,156,78
07-01-2012,147,79
08-01-2012,162,80
09-01-2012,182,81
10-01-2012,177,82
11-01-2012,174,83
12-01-2012,179,84
01-01-2013,164,85
02-01-2013,170,86
03-01-2013,168,87
04-01-2013,167,88
05-01-2013,165,89
06-01-2013,163,90
07-01-2013,172,91
08-01-2013,166,92
09-01-2013,179,93
10-01-2013,182,94
11-01-2013,176,95
12-01-2013,194,96
01-01-2014,167,97
02-01-2014,166,98
03-01-2014,165,99
04-01-2014,171,100
05-01-2014,165,101
06-01-2014,168,102
07-01-2014,170,103
08-01-2014,164,104
09-01-2014,180,105
10-01-2014,184,106
11-01-2014,173,107
12-01-2014,193,108
01-01-2015,173,109
02-01-2015,175,110
03-01-2015,172,111
04-01-2015,173,112
05-01-2015,166,113
06-01-2015,172,114
07-01-2015,165,115
08-01-2015,172,116
09-01-2015,186,117
10-01-2015,189,118
11-01-2015,181,119
12-01-2015,198,120
01-01-2016,178,121
02-01-2016,180,122
03-01-2016,179,123
04-01-2016,181,124
05-01-2016,177,125
06-01-2016,178,126
07-01-2016,181,127
08-01-2016,166,128
09-01-2016,184,129
10-01-2016,186,130
11-01-2016,185,131
12-01-2016,199,132
01-01-2017,176,133
02-01-2017,182,134
03-01-2017,183,135
04-01-2017,176,136
05-01-2017,175,137
06-01-2017,180,138
07-01-2017,178,139
08-01-2017,176,140
09-01-2017,184,141
10-01-2017,192,142
11-01-2017,182,143
12-01-2017,204,144
